ID,X,Y,Z,HDirection,HWidth,VTilt
0 , 0.000000 , 0.000000 , 25.000000 , 60.000000 , 65.000000 , 0.000000
1 , 200.000000 , -0.000000 , 25.000000 , 60.000000 , 65.000000 , 0.000000
2 , 100.000000 , 173.205080 , 25.000000 , 60.000000 , 65.000000 , 0.000000
3 , -100.000000 , 173.205080 , 25.000000 , 60.000000 , 65.000000 , 0.000000
4 , -200.000000 , 0.000000 , 25.000000 , 60.000000 , 65.000000 , 0.000000
5 , -100.000000 , -173.205080 , 25.000000 , 60.000000 , 65.000000 , 0.000000
6 , 100.000000 , -173.205080 , 25.000000 , 60.000000 , 65.000000 , 0.000000
7 , 400.000000 , -0.000001 , 25.000000 , 60.000000 , 65.000000 , 0.000000
8 , 299.999999 , 173.205080 , 25.000000 , 60.000000 , 65.000000 , 0.000000
9 , 199.999999 , 346.410160 , 25.000000 , 60.000000 , 65.000000 , 0.000000
10 , -0.000001 , 346.410160 , 25.000000 , 60.000000 , 65.000000 , 0.000000
11 , -200.000000 , 346.410161 , 25.000000 , 60.000000 , 65.000000 , 0.000000
12 , -300.000000 , 173.205081 , 25.000000 , 60.000000 , 65.000000 , 0.000000
13 , -400.000000 , 0.000001 , 25.000000 , 60.000000 , 65.000000 , 0.000000
14 , -299.999999 , -173.205080 , 25.000000 , 60.000000 , 65.000000 , 0.000000
15 , -199.999999 , -346.410160 , 25.000000 , 60.000000 , 65.000000 , 0.000000
16 , 0.000001 , -346.410160 , 25.000000 , 60.000000 , 65.000000 , 0.000000
17 , 200.000000 , -346.410161 , 25.000000 , 60.000000 , 65.000000 , 0.000000
18 , 300.000000 , -173.205081 , 25.000000 , 60.000000 , 65.000000 , 0.000000
19 , 599.999999 , -0.000001 , 25.000000 , 60.000000 , 65.000000 , 0.000000
20 , 499.999999 , 173.205079 , 25.000000 , 60.000000 , 65.000000 , 0.000000
21 , 399.999999 , 346.410160 , 25.000000 , 60.000000 , 65.000000 , 0.000000
22 , 299.999999 , 519.615240 , 25.000000 , 60.000000 , 65.000000 , 0.000000
23 , 99.999999 , 519.615240 , 25.000000 , 60.000000 , 65.000000 , 0.000000
24 , -100.000001 , 519.615241 , 25.000000 , 60.000000 , 65.000000 , 0.000000
25 , -300.000001 , 519.615241 , 25.000000 , 60.000000 , 65.000000 , 0.000000
26 , -400.000000 , 346.410161 , 25.000000 , 60.000000 , 65.000000 , 0.000000
27 , -500.000000 , 173.205081 , 25.000000 , 60.000000 , 65.000000 , 0.000000
28 , -599.999999 , 0.000001 , 25.000000 , 60.000000 , 65.000000 , 0.000000
29 , -499.999999 , -173.205079 , 25.000000 , 60.000000 , 65.000000 , 0.000000
30 , -399.999999 , -346.410160 , 25.000000 , 60.000000 , 65.000000 , 0.000000
31 , -299.999999 , -519.615240 , 25.000000 , 60.000000 , 65.000000 , 0.000000
32 , -99.999999 , -519.615240 , 25.000000 , 60.000000 , 65.000000 , 0.000000
33 , 100.000001 , -519.615241 , 25.000000 , 60.000000 , 65.000000 , 0.000000
34 , 300.000001 , -519.615241 , 25.000000 , 60.000000 , 65.000000 , 0.000000
35 , 400.000000 , -346.410161 , 25.000000 , 60.000000 , 65.000000 , 0.000000
36 , 500.000000 , -173.205081 , 25.000000 , 60.000000 , 65.000000 , 0.000000
37 , 799.999999 , -0.000002 , 25.000000 , 60.000000 , 65.000000 , 0.000000
38 , 699.999999 , 173.205079 , 25.000000 , 60.000000 , 65.000000 , 0.000000
39 , 599.999999 , 346.410159 , 25.000000 , 60.000000 , 65.000000 , 0.000000
40 , 499.999998 , 519.615240 , 25.000000 , 60.000000 , 65.000000 , 0.000000
41 , 399.999998 , 692.820320 , 25.000000 , 60.000000 , 65.000000 , 0.000000
42 , 199.999998 , 692.820320 , 25.000000 , 60.000000 , 65.000000 , 0.000000
43 , -0.000001 , 692.820321 , 25.000000 , 60.000000 , 65.000000 , 0.000000
44 , -200.000001 , 692.820321 , 25.000000 , 60.000000 , 65.000000 , 0.000000
45 , -400.000001 , 692.820322 , 25.000000 , 60.000000 , 65.000000 , 0.000000
46 , -500.000000 , 519.615242 , 25.000000 , 60.000000 , 65.000000 , 0.000000
47 , -600.000000 , 346.410162 , 25.000000 , 60.000000 , 65.000000 , 0.000000
48 , -700.000000 , 173.205082 , 25.000000 , 60.000000 , 65.000000 , 0.000000
49 , -799.999999 , 0.000002 , 25.000000 , 60.000000 , 65.000000 , 0.000000
50 , -699.999999 , -173.205079 , 25.000000 , 60.000000 , 65.000000 , 0.000000
51 , -599.999999 , -346.410159 , 25.000000 , 60.000000 , 65.000000 , 0.000000
52 , -499.999998 , -519.615240 , 25.000000 , 60.000000 , 65.000000 , 0.000000
53 , -399.999998 , -692.820320 , 25.000000 , 60.000000 , 65.000000 , 0.000000
54 , -199.999998 , -692.820320 , 25.000000 , 60.000000 , 65.000000 , 0.000000
55 , 0.000001 , -692.820321 , 25.000000 , 60.000000 , 65.000000 , 0.000000
56 , 200.000001 , -692.820321 , 25.000000 , 60.000000 , 65.000000 , 0.000000
57 , 400.000001 , -692.820322 , 25.000000 , 60.000000 , 65.000000 , 0.000000
58 , 500.000000 , -519.615242 , 25.000000 , 60.000000 , 65.000000 , 0.000000
