ID,X,Y,Z,Indoor,InCar,BSdist,GCellID
384,-4.945754,55.963508,1.500000,1,0,60.898478,0
385,93.215172,-52.483469,16.500000,1,0,107.311848,0
386,-67.701466,-57.600226,7.500000,1,0,90.595389,0
387,48.081541,-77.749871,16.500000,1,0,91.810277,0
388,41.666771,43.526704,10.500000,1,0,61.975348,0
389,-56.686745,58.159258,4.500000,1,0,83.762380,0
390,-97.927884,-15.631400,4.500000,1,0,101.264313,0
391,21.819936,-75.598470,10.500000,1,0,80.009301,0
392,47.795847,49.790122,22.500000,1,0,69.063371,0
393,98.404554,4.765111,7.500000,1,0,100.062044,0
394,44.674426,9.859492,1.500000,0,1,51.432130,0
395,67.802356,-58.620362,1.500000,1,0,92.659356,0
396,17.675448,98.042355,1.500000,0,1,102.357095,0
397,-88.988372,53.428646,4.500000,1,0,105.800758,0
398,-78.231721,-29.913084,1.500000,0,1,86.989912,0
399,-2.295945,-86.343890,1.500000,0,1,89.514182,0
400,-7.561806,-27.030804,4.500000,1,0,34.757665,0
401,-55.802153,-74.267007,7.500000,1,0,94.528930,0
402,46.971716,-31.186475,1.500000,0,1,61.083454,0
403,14.889743,37.185057,1.500000,1,0,46.440100,0
404,-9.930943,80.459160,10.500000,1,0,82.356239,0
405,91.689568,41.735069,13.500000,1,0,101.395477,0
406,43.561218,3.607055,1.500000,1,0,49.627014,0
407,32.958206,-27.179066,4.500000,1,0,47.383488,0
408,25.076620,-94.853779,1.500000,0,1,100.887691,0
409,55.931754,-11.623748,1.500000,0,1,61.771536,0
410,10.911413,54.988357,1.500000,1,0,60.786745,0
411,-17.158838,98.742210,4.500000,1,0,102.297115,0
412,91.901625,-49.975180,1.500000,0,1,107.217896,0
413,32.866012,-52.441762,7.500000,1,0,64.316119,0
414,288.426923,22.394553,1.500000,0,1,94.197064,1
415,251.034691,28.754230,22.500000,1,0,58.631011,1
416,226.209718,-9.046988,1.500000,0,1,36.346214,1
417,140.389549,12.534029,10.500000,1,0,62.615954,1
418,107.459275,4.707434,1.500000,1,0,95.593911,1
419,208.931173,-103.542536,13.500000,1,0,104.561334,1
420,158.950405,8.611682,1.500000,0,1,48.077857,1
421,186.024103,-97.206130,7.500000,1,0,99.752730,1
422,247.770946,-21.978368,1.500000,0,1,57.596545,1
423,256.406719,58.170363,13.500000,1,0,81.839838,1
424,111.089013,-8.543270,13.500000,1,0,90.057765,1
425,232.945776,63.030211,13.500000,1,0,72.044998,1
426,180.966252,-77.795208,10.500000,1,0,81.391817,1
